Janus绩效管理系统,参考库,包含,并且把它们作为一个参考库纳入Janus绩效管理系统之中。
J研究所员工薪酬,年终奖,包含,J研究所员工薪酬由工资、年终奖和福利三部分构成。
J研究所员工薪酬,福利,包含,J研究所员工薪酬由工资、年终奖和福利三部分构成。
NET数据搜集项目,评定量表,包含,向这些员工发放四份标准化问卷搜集数据；O*NET数据搜集项目中包含数百个评定量表
O*NET的内容模型,多的量表,包含,另一个质疑是O*NET的内容模型包含过多的量表
上述四大能力维度,具体的能力要素,包含,在上述四大能力维度下包括以下具体的能力要素。
不同的人力资源管理战略,薪酬战略,包含,Gerge T.Milkovich认为不同的人力资源管理战略（包括薪酬战略）要适应不同的企业战略
不定时工时制,弹性工作的员工,包含,北京和长沙的不定时工时制似乎包括了弹性工作的员工。
专业序列的通用能力,分析能力,包含,这个专业序列的通用能力包括沟通表达能力、逻辑分析能力、协调推进能力
专业序列的通用能力,推进能力,包含,这个专业序列的通用能力包括沟通表达能力、逻辑分析能力、协调推进能力
业务战略,产品领域内的竞争方式,包含,（2）业务战略（Business Strategy）：包括产业选择及在产品领域内的竞争方式选择
中国的养老保险基金,社会统筹基金,包含,中国的养老保险基金包括社会统筹基金与个人账户基金
中国的医疗保障体系,医疗保险,包含,这些制度安排与医疗保险共同构成了中国的医疗保障体系。
中国的退休养老制度,一般退休制度,包含,并与一般退休制度一起构成了中国的退休养老制度。
中国经理人,信息类,包含,该研究假设中国经理人所承担的角色可以划分为两大类：信息类和决策类
中国经理人,决策类,包含,该研究假设中国经理人所承担的角色可以划分为两大类：信息类和决策类
主持人的职责,整个TTA分析过程,包含,主持人的职责包括主持整个TTA分析过程
主要的竞争策略,差异化策略,包含,主要的竞争策略包括总成本领先策略、差异化策略和集中化经营策略。
主要的竞争策略,总成本领先策略,包含,主要的竞争策略包括总成本领先策略、差异化策略和集中化经营策略。
主要的竞争策略,集中化经营策略,包含,主要的竞争策略包括总成本领先策略、差异化策略和集中化经营策略。
主要责任主体,公司的高层管理者,包含,参与人力资源管理的主要责任主体包括：公司的高层管理者、直线管理人员、人力资源部和公司的每一位员工
主要责任主体,员工,包含,参与人力资源管理的主要责任主体包括：公司的高层管理者、直线管理人员、人力资源部和公司的每一位员工
事业部式结构的显著特点,组织产出,包含,事业部式结构的显著特点是基于组织产出的组合。
人事功能,评价指标,包含,那么评价指标就应该包括在人事功能外部取得的结果之中[11]。
人力资本,劳动者的知识存量,包含,人力资本中最重要的组成部分是劳动者的知识存量和技能存量
人力资本倾向,总体的员工满意度审计,包含,但人力资本倾向审计不仅包括总体的员工满意度审计
人力资本结构,成就动机等素质结构,包含,但人力资本结构还包括职位、部门等工作特征结构与影响力、成就动机等素质结构。
人力资本结构,职位,包含,但人力资本结构还包括职位、部门等工作特征结构与影响力、成就动机等素质结构。
人力资本结构,部门等工作特征结构,包含,但人力资本结构还包括职位、部门等工作特征结构与影响力、成就动机等素质结构。
人力资源,甄选过程,包含,人力资源获取的一般操作流程主要包括四个环节：定义需求、选择招募途径、实施甄选过程、试用考评。
人力资源内部规则,人力资源制度,包含,人力资源内部规则可以被定义为包括两个方面：人力资源制度和人力资源流程。
人力资源内部规则,人力资源流程,包含,人力资源内部规则可以被定义为包括两个方面：人力资源制度和人力资源流程。
人力资源审计,人力资源法律审计,包含,人力资源法律审计只是人力资源审计的组成部分之一
人力资源开发,培训,包含,人力资源开发包括培训与开发、职业开发与组织发展。
人力资源开发,培训以外的活动,包含,人力资源开发包括许多培训以外的活动
人力资源开发,职业开发,包含,人力资源开发包括培训与开发、职业开发与组织发展。
人力资源战略规划,人力资源数量规划,包含,人力资源战略规划包括三个方面：人力资源数量规划、人力资源结构规划、人力资源素质规划。
人力资源战略规划,人力资源素质规划,包含,人力资源战略规划包括三个方面：人力资源数量规划、人力资源结构规划、人力资源素质规划。
人力资源战略规划,人力资源结构规划,包含,人力资源战略规划包括三个方面：人力资源数量规划、人力资源结构规划、人力资源素质规划。
人力资源战略规划,支撑平台,包含,人力资源战略规划由两条主线和四个支撑平台构成。
人力资源管理,人事管理方案,包含,四是人力资源管理：包括人事管理方案、薪资报酬、福利措施、员工关系等。
人力资源管理,人员的招聘,包含,人力资源管理包括各种涉及所有类型人员的招聘、雇佣、培训、开发和报酬等各种活动。
人力资源管理,员工关系,包含,四是人力资源管理：包括人事管理方案、薪资报酬、福利措施、员工关系等。
人力资源管理,福利措施,包含,四是人力资源管理：包括人事管理方案、薪资报酬、福利措施、员工关系等。
人力资源管理,组织设计的成分,包含,人力资源管理内容中也就必然的包含了组织设计的成分
人力资源管理,薪资报酬,包含,四是人力资源管理：包括人事管理方案、薪资报酬、福利措施、员工关系等。
人力资源管理体系,培训,包含,人力资源管理体系主要包括招聘、培训、薪酬、绩效等多个模块。
人力资源管理体系,招聘,包含,人力资源管理体系主要包括招聘、培训、薪酬、绩效等多个模块。
人力资源管理体系,职位系统的研究,包含,因此对于职位系统的研究构成了人力资源管理体系的支柱之一。
人力资源管理体系,薪酬,包含,人力资源管理体系主要包括招聘、培训、薪酬、绩效等多个模块。
人力资源管理实践,报酬,包含,这些人力资源管理实践所包括的领域有：人员配备、开发、报酬、组织设计以及沟通等。
