专业结构,员工,依据,专业结构是根据员工所从事的工作性质对员工进行的划分
为导向的项目培训,培训,依据,2.推行以结果为导向的项目培训：根据不同的希望实现的结果按项目开展培训。
主试人员,测评人员的回答,依据,主试人员可以根据被测评人员的回答
人力资源,实际工作中员工,依据,人力资源再配置是组织根据在实际工作中员工与职位匹配程度或是员工个人因素
人力资源开发,企业战略的需要,依据,人力资源开发经理们的主要职责就是根据企业战略的需要
人力资源招聘,效标变量,依据,预测工具或效标变量是人力资源招聘与配置工作人员进行甄选决策的依据。
人力资源招聘,预测工具,依据,预测工具或效标变量是人力资源招聘与配置工作人员进行甄选决策的依据。
人力资源数量规划,组织结构等因素,依据,人力资源数量规划是依据企业战略对未来企业业务规模、地域分布、商业模式、业务流程和组织结构等因素
人力资源晋升规划,员工的提升方案,依据,人力资源晋升规划是根据组织需要和人员分布状况制定员工的提升方案。
人力资源法律审计,诊断性,依据,实用性人力资源法律审计根据其作用又可分为两种类型：诊断性审计与处方性审计。
人力资源现状,企业战略分析,依据,科学的对本企业的人力资源现状进行评价；(2)根据企业战略分析和人力资源现状
人力资源结构规划,业务模式,依据,人力资源结构规划是依据行业特点、企业规模、未来战略重点发育的业务及业务模式
人力资源规划,人力资源需求预测,依据,组织人力资源规划的依据就是人力资源需求预测、供给预测和供需平衡分析的结果
人力资源规划,供给预测,依据,组织人力资源规划的依据就是人力资源需求预测、供给预测和供需平衡分析的结果
人力资源需求预测,预测技术,依据,人力资源需求预测主要是根据企业的发展战略规划和本企业的内外部条件选择预测技术
人员补充计划,储备人才,依据,制定有目标导向性与预见性的人员补充计划——根据战略的要求及劳动力市场的涨落适时吸纳、储备人才
人工成本,服务人员的问题,依据,可从人工成本和服务效率质量角度根据实际情况来解决服务人员的问题。
企业培训,企业发展战略,依据,一、企业培训与开发系统设计的出发点1.依据企业发展战略确定培训开发策略
企业需要,员工,依据,企业需要根据员工总体的能力差异性来决定企业需要多少个工资宽带
企业需要,所谓薪酬政策,依据,企业需要根据其竞争性的薪酬政策来确定企业的薪酬政策线(见图8-14)；所谓薪酬政策
企业需要,竞争性的薪酬政策,依据,企业需要根据其竞争性的薪酬政策来确定企业的薪酬政策线(见图8-14)；所谓薪酬政策
全面的调查表,申请表,依据,全面的调查表将使你能根据申请人符合工作剖析的程度来决定优先考虑哪些申请表
公司战略,组织的未来发展方向,依据,公司战略就是依据组织所拥有的资源勾画出组织的未来发展方向
公司方案,职位价值,依据,公司方案将根据不同要素的不同维度对职位价值的影响而设计2—6个等级。
公司董事会,准予股票期权时,依据,其行权时间由公司董事会或者经其授权的公司股票期权管理委员会根据实际情况在准予股票期权时具体规定。
公司高层管理者,组织的企业战略,依据,公司高层管理者可以根据这些信息制定组织的企业战略
军人保障,群体特征,依据,由于军人保障有较权威的法规依据和具体对象的群体特征
分类的工作分析法,职业活动,依据,职业分类的工作分析法是根据工作的基本属性对每一种职业活动进行分析
划分职位等级,得到的职位评价,依据,划分职位等级的依据是通过职位评价得到的职位评价点值。
劳动争议仲裁,劳动法律,依据,劳动争议仲裁委认为：根据劳动法律、法规规定
劳动争议仲裁,法规规定,依据,劳动争议仲裁委认为：根据劳动法律、法规规定
劳动合同,劳动合同法,依据,用人单位可以解除劳动合同根据《劳动合同法》第39条规定
劳动合同,工作职责描述,依据,工作职责描述是不能胜任工作而解除劳动合同的唯一依据和基础。
劳动合同,经济情况,依据,仍需裁减人员的；④其他因劳动合同订立时所依据的客观经济情况发生重大变化
医疗保险机构,机构支付费用,依据,指医疗保险机构根据医疗机构上报的医疗服务项目和服务量向医疗机构支付费用
单一型职务薪酬制度,支付薪酬,依据,单一型职务薪酬制度是一种根据工作的难易程度来支付薪酬的制度
员工,企业组织,依据,因此会提醒员工根据自己的情况和企业组织的需要正确地进行职业选择、人生目标的确立和发展道路的确定。
员工,发展道路的确定,依据,因此会提醒员工根据自己的情况和企业组织的需要正确地进行职业选择、人生目标的确立和发展道路的确定。
员工,员工的职位,依据,对员工进行评价的依据员工的职位内容
员工,支付工资的同类员工,依据,接受激励性的计件工资计划的员工比根据工时支付工资的同类员工所获得的工资要高
员工,绩效标准,依据,下一年的绩效标准通常是由高管和员工在年会上根据上一年的绩效表现制定。
员工,能力攀登公司的阶梯,依据,迪斯尼乐园就对员工做出承诺：“每个人都将根据他的能力攀登公司的阶梯”。
员工,自动离职,依据,自动离职是员工依据个人意愿所做的离职
员工,选择福利,依据,让员工根据需求选择福利
员工产出,素质特征之间的关系,依据,将员工产出和管理投入结合起来；·根据各种素质特征之间的关系
员工的工作,员工,依据,员工的工作安排、薪酬和职业发展等都是根据员工所具备的胜任能力的水平来确定的。
命题人员,编制蓝图,依据,命题人员必须明确试题编写的依据是根据考试大纲制定的双向细目表或试卷编制蓝图。
命题人员,考试大纲,依据,命题人员必须明确试题编写的依据是根据考试大纲制定的双向细目表或试卷编制蓝图。
咨询小组,文化现状,依据,咨询小组建议公司应该根据文化现状和冲突
团队奖励,奖金分配,依据,团队奖励是根据组织、团队或者部门业绩来进行奖金分配决策的一种方式。
国家职称体系,不同岗位的工作量,依据,基本工资根据国家职称体系确定；岗位津贴根据不同岗位的工作量和责任确定
国家职称体系,责任,依据,基本工资根据国家职称体系确定；岗位津贴根据不同岗位的工作量和责任确定
地方政府,社会救助,依据,由地方政府根据本地区的具体情况来负责管理并实施社会救助。
基于能力,核心能力,依据,基于能力的规划模式以及依据核心能力挑选员工
基本工资,岗位,依据,基本工资的确定主要依据市场供需量、岗位对公司效益产生的重要性、员工从业经验和学历水平
